idx,lng,lat,hdong_code,hdong_name,b_code
199747,126.851674813154,37.5191734678965,1147064000,신정3동,1147010100
199748,126.845676287504,37.5189928802422,1147057000,신월2동,1147010300
199754,126.929961663748,37.6141657378333,1138052000,불광1동,1138010300
199755,126.929900092186,37.614361125674,1138052000,불광1동,1138010300
199756,126.930274894148,37.6144651415887,1138052000,불광1동,1138010300
199757,126.930470842438,37.613974488776,1138052000,불광1동,1138010300
199758,126.929463489807,37.6138552307728,1138052000,불광1동,1138010300
199804,126.960835025223,37.4753171208903,1162058500,낙성대동,1162010100
199805,126.968335028202,37.4707785476424,1162062500,인헌동,1162010100
199806,127.079917636277,37.5054440216715,1171065000,잠실본동,1171010100
199807,127.115510140701,37.5104772335288,1171056200,방이2동,1171011100
199808,127.112876705018,37.5040902154938,1171058000,송파1동,1171010400
199809,126.852069013161,37.5340205712004,1150055000,화곡2동,1150010300
199816,126.939292019666,37.488689257707,1162060500,은천동,1162010100
199817,126.969997197618,37.475718499396,1162057500,행운동,1162010100
199818,126.963993003735,37.4793804170486,1162057500,행운동,1162010100
199819,126.941971712718,37.4813971223393,1162059500,청룡동,1162010100
199820,126.809160108209,37.5662493233158,1150064000,방화2동,1150010900
199821,126.850846905964,37.5303073628203,1150059300,화곡8동,1150010300
199822,126.851124883531,37.5458421164403,1150059000,화곡본동,1150010300
199823,127.092722446911,37.5403549916768,1121587000,구의3동,1121510300
199824,127.089980296459,37.5397392073528,1121587000,구의3동,1121510300
199825,127.084062364508,37.5446929383343,1121585000,구의1동,1121510300
199826,127.095118354156,37.5559856792885,1121586000,구의2동,1121510300
199827,126.944843742121,37.5836630171851,1141062000,홍제1동,1141011100
199828,126.922868001732,37.4756049601415,1162077500,난곡동,1162010200
199829,126.966867997258,37.4700973417971,1162062500,인헌동,1162010100
199830,126.979389365048,37.4726122064529,1162063000,남현동,1162010300
199831,126.950334876974,37.4854961978826,1162061500,중앙동,1162010100
199844,126.926922342399,37.6191849212721,1138052000,불광1동,1138010300
199845,126.926777355364,37.6191865432718,1138052000,불광1동,1138010300
199846,126.927177872779,37.618610879749,1138052000,불광1동,1138010300
199847,127.132561470773,37.5276246890444,1174066000,성내3동,1174010800
199849,127.136672967921,37.5445324022214,1174060000,천호1동,1174010900
199850,126.992696894117,37.4837849440339,1165060000,방배1동,1165010100
199851,126.992633662441,37.4863757897773,1165060000,방배1동,1165010100
199852,126.989287521818,37.4790680823916,1165061000,방배2동,1165010100
199853,127.000020916135,37.480474592894,1165062000,방배3동,1165010100
199862,126.945162342808,37.5862721711177,1141062000,홍제1동,1141011100
199863,126.944710813685,37.586282682301,1141062000,홍제1동,1141011100
199864,126.944172227261,37.5867358984673,1141062000,홍제1동,1141011100
199865,126.947102825193,37.5883452497044,1141065500,홍제2동,1141011100
199866,126.947045032245,37.5885744362815,1141065500,홍제2동,1141011100
199888,126.90028189375,37.4473192674054,1154567000,시흥1동,1154510300
199889,126.907224237287,37.4539897166291,1154570000,시흥4동,1154510300
199891,126.893342892359,37.4650304470609,1154561000,독산1동,1154510200
199910,126.930908179025,37.6151639602648,1138052000,불광1동,1138010300
199911,126.92943157356,37.6137104228328,1138052000,불광1동,1138010300
199912,126.929381186302,37.6135756949008,1138052000,불광1동,1138010300
199913,126.92973579993,37.6144265298268,1138052000,불광1동,1138010300
199914,126.929643000637,37.6142255541096,1138052000,불광1동,1138010300
199915,126.931006983384,37.6143869155783,1138052000,불광1동,1138010300
199916,126.930591110471,37.6138700449055,1138052000,불광1동,1138010300
199917,126.977869640843,37.5515795488151,1117051000,후암동,1117010100
199918,126.964068720048,37.5417406709938,1117058000,효창동,1117011900
199919,126.965050725842,37.5246245594728,1117062500,한강로동,1117012800
199920,126.988246691728,37.5455401117871,1117052000,용산2가동,1117010200
199921,126.991377582519,37.5384473518666,1117066000,이태원2동,1117013000
199922,127.08236025853,37.4804643586452,1168072000,일원본동,1168011400
199923,127.037651943453,37.5103565201441,1168053100,논현2동,1168010800
199925,126.924505442523,37.5751980075186,1141070000,남가좌2동,1141012000
199926,126.916529880454,37.5777836266316,1141070000,남가좌2동,1141012000
199927,126.842989158546,37.5461427836725,1150061500,우장산동,1150010300
199928,126.8487218534,37.5439338110093,1150059000,화곡본동,1150010300
199950,126.84345650135,37.5460908759657,1150061500,우장산동,1150010300
199967,126.837674770361,37.5518739618824,1150061500,우장산동,1150010600
199969,126.957714952501,37.536969123024,1117059000,용문동,1117012100
199970,126.979129081249,37.551582391042,1117051000,후암동,1117010100
199971,126.96370745777,37.5374682887137,1117056000,원효로1동,1117011300
199972,126.934991939243,37.4835209498546,1162064500,서원동,1162010200
199973,126.924311784549,37.4751712467213,1162077500,난곡동,1162010200
199974,126.941934701315,37.48101084165,1162059500,청룡동,1162010100
199976,126.966982005177,37.4707342080072,1162062500,인헌동,1162010100
199977,127.139139103516,37.5287586913839,1174070000,둔촌2동,1174010600
199978,126.98876727935,37.5820851154543,1111060000,가회동,1111014900
199979,126.968520603379,37.5831523733156,1111051500,청운효자동,1111010200
199980,126.964555560125,37.6051534661186,1111056000,평창동,1111018300
199981,126.984035811004,37.5775130173944,1111054000,삼청동,1111014100
199982,126.985666601309,37.5819916169442,1111060000,가회동,1111014600
199983,126.939230641345,37.4892228029015,1162060500,은천동,1162010100
199985,126.91790536545,37.4658487198937,1162071500,난향동,1162010200
199986,126.966327415169,37.4771599369922,1162057500,행운동,1162010100
199987,126.948554615323,37.5909147105894,1141064000,홍제3동,1141011100
199988,126.946314178702,37.5885687902795,1141065500,홍제2동,1141011100
199989,126.945574365944,37.5899827391912,1141064000,홍제3동,1141011100
199990,126.946973745881,37.5920228618748,1141064000,홍제3동,1141011100
199991,126.946206941467,37.5917354588565,1141064000,홍제3동,1141011100
199993,126.945558976744,37.5921459240044,1141064000,홍제3동,1141011100
199994,126.948797982841,37.5911830417602,1141064000,홍제3동,1141011100
199995,126.948113226664,37.5911205742791,1141064000,홍제3동,1141011100
199996,126.948512315027,37.5508892423783,1144061000,염리동,1144010900
199999,126.91551071416,37.5635210507074,1144072000,성산1동,1144012500
200000,126.911908356091,37.5672714259166,1144073000,성산2동,1144012500
200001,126.977932806971,37.5503647446121,1117051000,후암동,1117010100
200004,126.993168130698,37.5398360003418,1117066000,이태원2동,1117013000
200024,126.931476073415,37.5642928283124,1141061500,연희동,1141011700
200025,127.07729353703,37.5343912958094,1121582000,자양1동,1121510500
200026,127.082990717057,37.569955673211,1121576000,중곡3동,1121510100
200027,127.022313480036,37.6456716283747,1130562500,수유2동,1130510300
200028,127.014277560138,37.6221588615272,1130553400,삼양동,1130510100
200031,126.928961428651,37.5631941989594,1141061500,연희동,1141011700
200032,126.929200509802,37.5629187278022,1141061500,연희동,1141011700
200037,127.041155294005,37.6422582275716,1132051200,창2동,1132010700
200038,127.036806603577,37.6456062795764,1132051200,창2동,1132010700
200039,127.028811052951,37.6260936117858,1130553500,미아동,1130510100
200040,127.024115136308,37.6278724017529,1130553500,미아동,1130510100
200041,127.01263074872,37.6179760334621,1130557500,삼각산동,1130510100
200043,126.854897428477,37.5170788556533,1147062000,신정1동,1147010100
200044,126.849560536814,37.5184307104494,1147064000,신정3동,1147010100
200060,126.83796771839,37.519106084164,1147061100,신월7동,1147010300
200061,126.849227885346,37.5157750313369,1147064000,신정3동,1147010100
200063,127.130293454812,37.4906216221509,1171064100,문정1동,1171010800
200081,127.037353232807,37.5144423986363,1168053100,논현2동,1168010800
200083,127.093075002309,37.5381529410829,1121587000,구의3동,1121510300
200084,127.082619580737,37.5421012411893,1121585000,구의1동,1121510300
200086,127.133272419016,37.4871169853133,1171064600,장지동,1171010800
200087,127.139757189021,37.5009387683447,1171057000,오금동,1171011200
200104,127.090720966323,37.5435620318818,1121587000,구의3동,1121510300
200105,127.092898759926,37.5387331436193,1121587000,구의3동,1121510300
200106,127.09063503525,37.5361391214269,1121587000,구의3동,1121510300
200123,127.092028161523,37.5422932243159,1121587000,구의3동,1121510300
200125,127.022546779999,37.5623544978776,1114065000,신당5동,1114016200
200145,126.909324192362,37.5085978791312,1156065000,신길3동,1156013200
200161,126.933643395037,37.5031003434873,1159055000,상도3동,1159010200
200177,126.958901490626,37.5077168691327,1159060500,흑석동,1159010500
200178,126.945830006189,37.5024412579133,1159054000,상도2동,1159010200
200179,126.929428827479,37.5009335051168,1159055000,상도3동,1159010200
200180,126.968747014476,37.5493330095618,1117055500,청파동,1117010900
200200,126.964648451599,37.5418731127239,1117058000,효창동,1117011900
200201,126.929959299851,37.5718641750348,1141061500,연희동,1141011700
200202,126.930068699969,37.5716889062683,1141061500,연희동,1141011700
200203,126.93012000497,37.5715395516776,1141061500,연희동,1141011700
200215,126.924697623834,37.6163621690393,1138052000,불광1동,1138010300
200223,126.935158454499,37.5711240945459,1141061500,연희동,1141011700
200224,126.936907999343,37.5706215664265,1141061500,연희동,1141011700
200246,126.851853217169,37.5259734629552,1147065000,신정4동,1147010100
200247,126.833300161966,37.5356083588071,1147056000,신월1동,1147010300
200248,126.856013360286,37.5282374181635,1147065000,신정4동,1147010100
200249,126.871060792886,37.5425916990219,1147052000,목2동,1147010200
200250,127.054541990026,37.5784446574525,1123056000,전농1동,1123010400
200251,127.05858170238,37.5873936399886,1123073000,휘경2동,1123010900
200254,127.060704099372,37.5860688290559,1123073000,휘경2동,1123010900
200288,127.089984516593,37.5027489033159,1171061000,삼전동,1171010600
200303,127.156570934505,37.4955527328029,1171054000,마천1동,1171011400
200305,127.125117504073,37.4939888731954,1171063200,가락2동,1171010700
200306,127.157792321663,37.4937156683194,1171054000,마천1동,1171011400
200307,126.899660544152,37.5228309644205,1156055000,당산1동,1156011100
