자치구명,행정동,행정동코드,1인가구비율,사회적_고립도,평일_재택률,휴일_재택률,배달_의존도,이동_취약성_거리,이동_취약성_횟수,휴일_활동성,경제적_취약성,거주_불안정성,게임_이용,금융_이용,쇼핑_이용,배달브랜드_이용,배달식재료_이용,영상_서비스_이용,대중교통_이용,출퇴근_부담,근무_강도,종합_취약도
양천구,신월3동,11470103,52,74,78,75,65,57,87,35,47,54,23,56,0,60,46,1,60,18,25,48.1
양천구,신월4동,11470104,25,71,79,42,37,73,98,24,9,56,25,54,1,55,38,1,61,42,20,42.7
양천구,신월5동,11470105,31,65,42,33,33,56,74,28,25,55,43,47,1,40,43,1,55,26,41,38.9
양천구,신월6동,11470106,31,61,75,31,62,51,68,41,17,62,21,30,1,67,58,1,42,44,26,41.5
양천구,신월7동,11470107,45,77,81,60,42,61,73,34,25,52,24,41,1,43,27,1,46,16,30,41.0
양천구,신정1동,11470108,22,58,79,43,30,53,92,40,24,57,54,33,0,61,63,1,54,17,36,43.0
양천구,신정2동,11470109,34,56,56,30,39,56,78,39,16,56,52,51,1,52,49,1,38,27,17,39.4
양천구,신정3동,11470110,30,55,71,45,47,38,51,45,24,56,29,29,0,5,4,1,21,34,45,33.2
양천구,신정4동,11470111,34,54,74,43,51,52,63,29,27,55,25,45,1,30,28,1,30,31,38,37.4
양천구,신정6동,11470112,15,38,64,22,31,26,63,61,6,56,61,45,0,31,28,1,32,49,41,35.3
양천구,신정7동,11470113,47,69,75,37,31,44,76,45,12,53,53,38,0,33,31,1,21,33,51,39.5
영등포구,당산1동,11560104,42,49,79,41,41,55,91,30,28,56,38,52,1,44,40,1,38,14,36,40.8
영등포구,당산2동,11560105,16,52,72,48,31,38,63,41,10,56,57,34,0,20,29,1,34,19,44,35.0
영등포구,대림1동,11560116,39,71,81,62,45,75,88,25,17,56,41,64,1,51,50,1,41,30,33,45.8
영등포구,대림2동,11560117,32,60,60,73,41,70,83,33,15,57,33,50,1,50,50,1,29,38,37,42.8
영등포구,대림3동,11560118,33,59,65,42,41,55,75,32,14,56,47,47,1,50,42,1,25,39,44,40.4
영등포구,도림동,11560106,39,67,80,59,96,54,77,32,19,56,24,34,1,49,54,1,31,38,50,45.3
영등포구,문래동,11560107,22,55,71,38,27,44,72,40,19,56,41,41,1,26,34,1,32,29,48,36.7
영등포구,신길1동,11560110,48,59,78,62,48,52,75,34,32,56,36,49,1,31,58,1,28,24,50,43.3
영등포구,신길3동,11560111,43,71,89,55,58,73,99,22,29,56,41,47,1,45,46,2,40,38,35,46.8
영등포구,신길4동,11560112,42,83,90,73,0,57,91,31,24,59,32,52,1,76,61,1,35,42,23,45.9
영등포구,신길5동,11560113,42,69,86,53,33,66,83,27,24,56,30,47,1,45,47,1,29,37,36,42.7
영등포구,신길6동,11560114,30,60,66,35,45,40,71,34,22,59,43,43,1,46,16,1,29,42,49,38.5
영등포구,신길7동,11560115,16,52,56,38,56,41,64,40,17,58,39,35,0,19,49,1,31,35,45,36.4
영등포구,양평1동,11560108,32,66,75,28,68,59,77,35,34,56,31,39,0,49,57,1,37,25,39,42.5
영등포구,양평2동,11560109,16,61,69,31,33,42,64,36,19,51,39,29,0,47,53,1,29,19,35,35.5
영등포구,여의동,11560103,17,27,56,33,16,14,50,65,28,30,50,31,0,15,0,1,27,40,54,29.2
영등포구,영등포동,11560102,43,50,84,47,60,47,84,26,54,56,41,33,0,7,30,1,31,28,51,40.7
영등포구,영등포본동,11560101,34,72,85,71,70,54,80,30,37,56,38,48,1,35,47,1,29,19,27,43.9
용산구,남영동,11170103,77,61,75,55,59,39,59,49,60,54,2,67,0,48,78,1,19,25,28,45.1
용산구,보광동,11170116,49,38,78,67,73,61,69,26,74,49,33,58,0,62,73,1,24,27,21,46.5
용산구,서빙고동,11170115,33,38,57,38,34,20,24,69,35,55,49,58,0,44,47,1,0,33,29,34.9
용산구,용문동,11170108,30,63,69,58,45,40,68,37,32,55,56,36,1,58,58,1,32,25,27,41.6
용산구,용산2가동,11170102,31,62,85,72,18,62,70,23,45,6,23,59,1,63,63,1,40,10,34,40.4
용산구,원효로1동,11170105,27,44,77,68,43,24,59,42,24,56,20,22,0,60,49,1,23,31,34,37.1
용산구,원효로2동,11170106,29,38,48,31,31,26,38,46,28,54,43,36,0,56,62,2,19,32,28,34.1
용산구,이촌1동,11170110,22,31,64,39,20,7,36,83,17,48,62,36,0,29,30,1,6,31,34,31.4
용산구,이촌2동,11170111,26,42,51,52,37,33,28,51,12,58,34,48,0,35,64,1,7,47,36,34.8
용산구,이태원1동,11170112,47,27,86,77,47,34,64,39,51,54,35,48,0,50,63,1,28,24,27,42.2
용산구,이태원2동,11170113,39,35,83,72,52,51,57,29,51,21,43,71,1,75,60,1,39,24,23,43.5
용산구,청파동,11170104,39,69,68,77,53,60,71,22,42,55,28,35,1,31,58,1,30,22,33,41.8
용산구,한강로동,11170109,25,25,64,71,24,10,35,73,33,55,56,26,0,35,37,1,8,32,33,33.8
용산구,한남동,11170114,34,10,53,51,46,1,17,74,51,56,45,38,0,38,48,1,10,47,41,34.8
용산구,효창동,11170107,22,58,57,65,17,61,86,22,19,56,44,37,0,55,69,2,49,55,33,42.5
용산구,후암동,11170101,34,51,81,71,45,41,65,35,40,49,20,39,0,33,58,1,30,5,35,38.6
은평구,갈현1동,11380104,34,66,80,68,41,58,54,41,42,45,36,25,0,40,52,1,36,27,44,41.6
은평구,갈현2동,11380105,28,79,79,62,47,57,57,46,24,56,43,48,1,34,36,1,41,29,39,42.5
은평구,구산동,11380106,23,77,86,78,39,56,60,49,20,28,44,48,1,30,47,1,49,15,23,40.7
은평구,녹번동,11380101,39,70,81,58,39,49,50,40,30,48,32,46,0,13,10,1,33,20,40,36.8
은평구,대조동,11380107,43,74,89,68,63,61,73,42,32,53,35,44,1,29,40,1,40,30,33,44.8
은평구,불광1동,11380102,37,76,82,70,55,53,61,44,25,50,35,50,1,9,22,1,39,22,41,40.7
은평구,불광2동,11380103,46,82,78,52,66,63,62,43,28,52,42,54,1,30,39,1,36,49,41,45.5
은평구,수색동,11380115,37,62,66,53,54,48,47,46,21,48,51,43,0,53,62,1,18,11,16,38.8
은평구,신사1동,11380112,26,73,77,42,43,64,65,35,20,35,48,69,1,34,47,2,35,19,32,40.4
은평구,신사2동,11380113,32,74,74,59,41,63,54,38,24,48,44,43,1,45,53,1,30,34,32,41.6
은평구,역촌동,11380111,33,82,83,63,52,59,65,39,23,41,34,56,1,13,24,1,36,33,44,41.2
은평구,응암1동,11380108,29,77,81,59,33,51,59,45,22,56,22,46,1,27,31,1,36,20,38,38.6
은평구,응암2동,11380109,36,73,82,68,44,57,76,33,13,49,35,39,1,30,34,1,47,26,36,41.1
은평구,응암3동,11380110,39,85,68,53,38,72,76,34,27,56,38,70,1,32,51,2,45,31,41,45.2
은평구,증산동,11380114,25,52,41,46,49,48,52,45,28,51,38,56,1,30,61,1,23,32,37,37.7
은평구,진관동,11380116,14,61,68,62,23,27,36,64,15,54,58,30,0,0,12,1,21,35,56,33.5
종로구,가회동,11110108,45,42,79,62,17,60,64,46,21,50,83,51,1,81,94,2,64,31,22,48.2
종로구,교남동,11110107,41,56,41,38,27,57,67,37,21,56,50,42,0,61,57,1,49,22,37,40.0
종로구,무악동,11110106,33,54,22,34,29,47,59,39,31,57,35,54,0,61,44,1,34,25,32,36.4
종로구,부암동,11110104,35,21,70,56,47,21,23,71,23,51,28,46,0,70,71,1,78,34,30,40.8
종로구,사직동,11110102,31,34,69,54,21,37,56,42,36,45,52,26,0,60,63,1,52,44,52,40.8
종로구,삼청동,11110103,41,42,81,62,2,56,84,50,31,53,100,100,1,100,100,3,100,33,19,55.7
종로구,숭인1동,11110116,54,70,73,69,43,75,66,16,39,57,33,56,1,71,78,1,40,25,35,47.5
종로구,숭인2동,11110117,64,54,41,52,46,68,75,15,61,56,9,43,1,53,82,1,38,9,33,42.2
종로구,이화동,11110111,65,53,78,99,45,54,93,44,38,65,49,53,1,66,85,1,59,56,42,55.1
종로구,종로1·2·3·4가동,11110109,71,12,66,58,44,50,77,25,88,54,25,33,0,43,79,1,28,61,31,44.5
종로구,종로5·6가동,11110110,66,45,83,82,60,94,96,0,46,56,43,42,1,58,85,1,57,26,34,51.3
종로구,창신1동,11110113,68,54,73,97,7,75,83,3,83,59,47,92,1,74,91,2,35,29,31,52.8
종로구,창신2동,11110114,52,70,100,92,30,100,91,6,49,17,46,99,1,75,87,2,50,7,20,52.3
종로구,창신3동,11110115,36,63,83,55,10,76,62,11,33,26,66,89,1,88,88,2,43,4,22,45.2
종로구,청운효자동,11110101,26,29,75,72,25,21,38,59,32,52,72,26,0,65,74,1,52,34,27,41.1
종로구,평창동,11110105,16,10,62,37,18,2,16,93,37,32,50,35,0,40,66,1,63,36,2,32.4
종로구,혜화동,11110112,24,46,85,100,52,62,68,23,28,0,51,46,0,55,71,1,69,13,28,43.3
중구,광희동,11140106,62,11,69,48,45,44,46,32,55,56,20,29,0,31,49,1,10,78,30,37.7
중구,다산동,11140109,27,61,73,75,45,62,59,20,60,51,30,54,0,33,69,1,31,22,42,42.9
중구,동화동,11140113,24,59,73,54,37,74,76,21,20,58,26,46,0,55,56,1,39,34,32,41.3
중구,명동,11140103,47,23,59,92,22,26,66,53,39,56,47,30,0,78,84,1,34,44,43,44.4
중구,소공동,11140101,52,32,38,38,30,34,57,67,50,81,35,31,0,70,96,1,18,56,33,43.1
중구,신당5동,11140112,33,62,67,69,65,80,84,17,36,59,32,46,1,71,51,2,39,34,48,47.2
중구,신당동,11140108,67,18,60,56,89,32,34,33,66,56,2,21,0,42,58,0,1,100,63,42.0
중구,약수동,11140110,42,58,41,51,44,52,55,39,31,56,30,41,0,26,53,1,25,35,57,38.8
중구,을지로동,11140107,100,19,77,51,48,70,69,18,97,70,32,46,0,78,73,0,22,89,30,52.1
중구,장충동,11140105,47,22,74,84,37,50,60,34,30,48,24,55,1,83,65,1,33,23,32,42.3
중구,중림동,11140115,37,62,36,47,35,68,64,22,38,49,53,32,1,53,72,2,27,20,31,39.4
중구,청구동,11140111,45,64,59,50,25,69,74,31,34,57,44,43,1,31,36,1,40,60,47,42.7
중구,필동,11140104,60,2,72,72,22,56,63,15,43,54,30,23,0,66,67,1,37,28,38,39.4
중구,황학동,11140114,44,44,63,44,59,69,87,14,61,50,32,39,1,59,81,1,45,16,36,44.5
중구,회현동,11140102,46,20,58,67,57,42,52,34,69,56,26,39,0,44,67,1,10,26,38,39.6
중랑구,망우3동,11260115,48,86,89,80,71,73,91,31,41,54,31,60,1,40,50,2,48,16,29,49.5
